id,inicio,fim,n_cidades,cidades,atinge_acu,atinge_mirim,tipos,desabrigados,desalojados,mortos,prejuizos_rs,protocolos
1991-10-15,1991-10-15,1991-10-15,1,Blumenau,True,False,Enxurrada,0,0,0,0.0,SC-D-4202404-12200-19911015
1991-11-12,1991-11-12,1991-11-13,3,"Gaspar, Guabiruba, Ilhota",True,True,Enxurrada,0,0,0,0.0,"SC-D-4205902-12200-19911112, SC-D-4206306-12200-19911113, SC-D-4207106-12200-19911113"
1992-02-21,1992-02-21,1992-02-21,1,Blumenau,True,False,Enxurrada,0,0,0,0.0,SC-P-4202404-12200-19920221
1992-03-04,1992-03-04,1992-03-04,1,Navegantes,True,False,Inundação,0,0,0,0.0,SC-D-4211306-12100-19920304
1992-05-29,1992-05-29,1992-05-29,1,Gaspar,True,False,Inundação,300,2530,0,0.0,SC-R-4205902-12100-19920529
1992-06-08,1992-06-08,1992-06-08,2,"Ascurra, Benedito Novo",True,False,"Enxurrada, Inundação",0,0,0,0.0,"SC-P-4201703-12200-19920608, SC-P-4202206-12100-19920608"
1993-02-08,1993-02-08,1993-02-08,1,Blumenau,True,False,Enxurrada,7,1,1,0.0,SC-R-4202404-12200-19930208
1994-02-28,1994-02-28,1994-02-28,1,Blumenau,True,False,Enxurrada,0,0,0,0.0,SC-P-4202404-12200-19940228
1994-05-13,1994-05-13,1994-05-13,1,Timbó,True,False,Enxurrada,0,0,0,0.0,SC-P-4218202-12200-19940513
1995-01-09,1995-01-09,1995-01-12,7,"Apiúna, Benedito Novo, Botuverá, Indaial, Ituporanga, Rodeio, Vidal Ramos",True,True,"Enxurrada, Inundação",0,553,0,0.0,"SC-R-4201257-12200-19950109, SC-R-4202206-12100-19950109, SC-R-4219200-12200-19950109, SC-D-4202701-12200-19950110, SC-R-4215109-12200-19950110, SC-P-4207502-12200-19950112, SC-R-4208500-12200-19950112"
1995-02-01,1995-02-01,1995-02-01,2,"Itajaí, Rio do Sul",True,True,Enxurrada,0,0,0,0.0,"SC-D-4208203-12200-19950201, SC-D-4214805-12200-19950201"
1995-02-11,1995-02-11,1995-02-11,1,Blumenau,True,False,Enxurrada,0,0,0,0.0,SC-D-4202404-12200-19950211
1996-01-08,1996-01-08,1996-01-09,2,"Brusque, Guabiruba",False,True,Enxurrada,0,3,0,0.0,"SC-A-4202909-12200-19960108, SC-P-4206306-12200-19960109"
1996-01-19,1996-01-19,1996-01-19,1,Taió,True,False,Inundação,0,0,0,0.0,SC-D-4217808-12100-19960119
1997-01-23,1997-01-23,1997-01-23,1,Rodeio,True,False,Enxurrada,0,0,0,0.0,SC-D-4215109-12200-19970123
1997-02-01,1997-02-01,1997-02-03,8,"Apiúna, Ascurra, Blumenau, Brusque, Gaspar, Ituporanga, Lontras, Rio do Sul",True,True,"Enxurrada, Inundação",0,0,0,0.0,"SC-D-4205902-12200-19970201, SC-D-4208500-12200-19970201, SC-D-4214805-12100-19970201, SC-A-4201257-12200-19970202, SC-A-4201703-12200-19970202, SC-P-4202404-12200-19970203, SC-D-4202909-12200-19970203, SC-D-4209904-12200-19970203"
